t_rel,raw_0,raw_1,raw_2,deg_0,deg_1,deg_2
8.873093843460083,3818,0,0,335.57,0.00,0.00
8.987893342971802,3818,0,0,335.57,0.00,0.00
9.10240364074707,3818,0,0,335.57,0.00,0.00
9.217570543289185,3818,0,0,335.57,0.00,0.00
9.33293080329895,3818,0,0,335.57,0.00,0.00
9.447808027267456,3818,0,0,335.57,0.00,0.00
9.562355279922485,3819,0,0,335.65,0.00,0.00
9.678160190582275,3818,0,0,335.57,0.00,0.00
9.792965650558472,3818,0,0,335.57,0.00,0.00
9.907771825790405,3818,0,0,335.57,0.00,0.00
10.022641897201538,3819,0,0,335.65,0.00,0.00
10.137678146362305,3818,0,0,335.57,0.00,0.00
10.252360343933105,3817,0,0,335.48,0.00,0.00
10.36770486831665,3818,0,0,335.57,0.00,0.00
10.48213505744934,3818,0,0,335.57,0.00,0.00
10.597833633422852,3819,0,0,335.65,0.00,0.00
10.712674617767334,3818,0,0,335.57,0.00,0.00
10.82788372039795,3819,0,0,335.65,0.00,0.00
10.943386316299438,3817,0,0,335.48,0.00,0.00
11.057857036590576,3819,0,0,335.65,0.00,0.00
11.172940015792847,3818,0,0,335.57,0.00,0.00
11.28712511062622,3818,0,0,335.57,0.00,0.00
11.402916669845581,3818,0,0,335.57,0.00,0.00
11.517858982086182,3820,0,0,335.74,0.00,0.00
11.63287091255188,3820,0,0,335.74,0.00,0.00
11.748100757598877,3820,0,0,335.74,0.00,0.00
11.862575769424438,3820,0,0,335.74,0.00,0.00
11.97805666923523,3818,0,0,335.57,0.00,0.00
12.092416524887085,3814,0,0,335.21,0.00,0.00
12.207600831985474,3813,0,0,335.13,0.00,0.00
12.32213020324707,3807,0,0,334.60,0.00,0.00
12.437922716140747,3810,0,0,334.86,0.00,0.00
12.552994012832642,3809,0,0,334.78,0.00,0.00
12.668219089508057,3810,0,0,334.86,0.00,0.00
12.782298564910889,3811,0,0,334.95,0.00,0.00
12.898264408111572,3809,0,0,334.78,0.00,0.00
13.01233196258545,3809,0,0,334.78,0.00,0.00
13.128012418746948,3809,0,0,334.78,0.00,0.00
13.242789268493652,3807,0,0,334.60,0.00,0.00
13.35765290260315,3807,0,0,334.60,0.00,0.00
13.472973823547363,3806,0,0,334.51,0.00,0.00
13.587537050247192,3803,0,0,334.25,0.00,0.00
13.703569650650024,3805,0,0,334.42,0.00,0.00
13.817227363586426,3824,0,0,336.09,0.00,0.00
13.932640790939331,3823,0,0,336.01,0.00,0.00
14.047380685806274,3824,0,0,336.09,0.00,0.00
14.162813663482666,3824,0,0,336.09,0.00,0.00
14.277663946151733,3825,0,0,336.18,0.00,0.00
14.392745971679688,3824,0,0,336.09,0.00,0.00
14.508423328399658,3825,0,0,336.18,0.00,0.00
14.622984409332275,3825,0,0,336.18,0.00,0.00
14.737853288650513,3824,0,0,336.09,0.00,0.00
14.852152585983276,3824,0,0,336.09,0.00,0.00
14.967730283737183,3824,0,0,336.09,0.00,0.00
15.082762002944946,3824,0,0,336.09,0.00,0.00
15.198099851608276,3825,0,0,336.18,0.00,0.00
15.312353610992432,3825,0,0,336.18,0.00,0.00
15.427945137023926,3825,0,0,336.18,0.00,0.00
15.542170763015747,3825,0,0,336.18,0.00,0.00
15.659287929534912,3826,0,0,336.27,0.00,0.00
15.77342939376831,3825,0,0,336.18,0.00,0.00
15.887511968612671,3826,0,0,336.27,0.00,0.00
16.002849102020264,3826,0,0,336.27,0.00,0.00
16.11796522140503,3825,0,0,336.18,0.00,0.00
16.232694625854492,3827,0,0,336.36,0.00,0.00
16.34721326828003,3826,0,0,336.27,0.00,0.00
