t_rel,raw_0,raw_1,raw_2,deg_0,deg_1,deg_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.85051965713501,633,2747,933,55.63,241.44,82,,3.88420844078064,3435,2540,2744,1860,2320,1919,1878,2101,1670,2300,2550,1540,1400,2080,1977,2284,3435,2540,2745,1860,2320,1919,1917,2102,1731,2301,2551,1540,1400,2080,1977,2181
4.96456289291382,669,2749,932,58.8,241.61,81.91,,3.96418428421021,3435,2540,2744,1860,2320,1919,1858,2101,1650,2300,2550,1540,1400,2080,1977,2293,3435,2541,2745,1860,2320,1919,1917,2102,1730,2301,2551,1540,1400,2080,1977,2182
5.07964015007019,819,2746,916,71.98,241.35,80.51,,4.04420900344849,3435,2540,2744,1860,2320,1919,1838,2101,1631,2300,2550,1540,1400,2080,1978,2302,3435,2541,2745,1860,2320,1919,1917,2102,1730,2301,2551,1540,1400,2080,1978,2182
5.19444990158081,857,2758,899,75.32,242.4,79.01,,4.12397503852844,3435,2540,2745,1860,2320,1919,1818,2100,1611,2300,2550,1540,1400,2080,1979,2311,3435,2541,2745,1860,2320,1919,1917,2102,1730,2301,2551,1540,1400,2080,1979,2182
5.30964159965515,847,2759,899,74.44,242.49,79.01,,4.20421576499939,3435,2540,2745,1860,2320,1919,1798,2100,1592,2300,2550,1540,1400,2080,1979,2320,3435,2540,2746,1860,2320,1919,1917,2102,1730,2301,2551,1540,1400,2080,1979,2181
5.42448568344116,840,2759,899,73.83,242.49,79.01,,4.28419137001038,3435,2540,2745,1860,2320,1919,1778,2100,1572,2300,2550,1540,1400,2080,1980,2329,3435,2540,2746,1860,2320,1919,1917,2102,1730,2301,2551,1540,1400,2080,1980,2181
5.53970265388489,845,2759,899,74.27,242.49,79.01,,4.36415839195252,3435,2540,2745,1860,2320,1919,1758,2100,1553,2300,2550,1540,1400,2080,1981,2338,3435,2540,2746,1860,2320,1919,1917,2102,1730,2301,2551,1540,1400,2080,1981,2182
5.65466642379761,845,2759,899,74.27,242.49,79.01,,4.44423508644104,3435,2540,2745,1860,2320,1919,1738,2100,1533,2300,2550,1540,1400,2080,1981,2347,3435,2540,2746,1860,2320,1919,1917,2100,1730,2301,2551,1540,1400,2080,1981,2181
5.76966571807861,843,2759,898,74.09,242.49,78.93,,4.52419114112854,3435,2540,2745,1860,2320,1919,1718,2100,1514,2300,2550,1540,1400,2080,1982,2356,3435,2541,2746,1860,2320,1919,1916,2100,1730,2301,2551,1540,1400,2080,1982,2181
5.88445806503296,839,2759,899,73.74,242.49,79.01,,4.60420870780945,3435,2540,2745,1860,2320,1919,1698,2100,1494,2300,2550,1540,1400,2080,1983,2365,3435,2540,2746,1860,2320,1919,1916,2101,1730,2301,2551,1540,1400,2080,1983,2182
5.99969410896301,837,2759,898,73.56,242.49,78.93,,4.68421268463135,3435,2540,2745,1860,2320,1919,1679,2100,1475,2300,2550,1540,1400,2080,1983,2374,3435,2540,2746,1860,2320,1919,1916,2100,1730,2301,2551,1540,1400,2080,1983,2182
,,,,,,,,4.76429510116577,3435,2540,2745,1860,2320,1919,1659,2100,1455,2300,2550,1540,1400,2080,1984,2383,3435,2540,2746,1860,2320,1919,1906,2101,1730,2301,2551,1540,1400,2080,1984,2181
,,,,,,,,4.84427833557129,3435,2540,2745,1860,2320,1919,1639,2100,1436,2300,2550,1540,1400,2080,1985,2392,3435,2540,2746,1860,2320,1919,1783,2100,1730,2301,2551,1540,1400,2080,1985,2181
,,,,,,,,4.92414021492004,3435,2540,2745,1860,2320,1919,1619,2100,1416,2300,2550,1540,1400,2080,1985,2401,3435,2540,2746,1860,2320,1919,1645,2101,1730,2301,2551,1540,1400,2080,1985,2181
,,,,,,,,5.00419044494629,3435,2540,2745,1860,2320,1919,1599,2100,1397,2300,2550,1540,1400,2080,1986,2410,3435,2540,2746,1860,2320,1919,1531,2100,1702,2301,2551,1540,1400,2080,1987,2182
,,,,,,,,5.08420562744141,3435,2540,2745,1860,2320,1919,1579,2100,1377,2300,2550,1540,1400,2080,1987,2419,3435,2541,2747,1860,2320,1919,1483,2100,1650,2301,2551,1540,1400,2080,1985,2182
,,,,,,,,5.164222240448,3435,2540,2745,1860,2320,1919,1559,2100,1358,2300,2550,1540,1400,2080,1987,2428,3435,2541,2747,1860,2320,1919,1483,2101,1630,2301,2551,1540,1400,2080,1989,2181
,,,,,,,,5.2442524433136,3435,2540,2745,1860,2320,1919,1539,2100,1338,2300,2550,1540,1400,2080,1988,2437,3435,2541,2747,1860,2320,1919,1483,2101,1630,2301,2551,1540,1400,2080,1986,2181
,,,,,,,,5.32421875,3435,2540,2745,1860,2320,1919,1519,2100,1319,2300,2550,1540,1400,2080,1989,2446,3435,2540,2747,1860,2320,1919,1483,2100,1630,2301,2551,1540,1400,2080,1988,2181
,,,,,,,,5.4042181968689,3435,2540,2746,1860,2320,1920,1500,2100,1300,2300,2550,1540,1400,2080,1990,2455,3435,2541,2747,1860,2320,1919,1483,2101,1630,2301,2551,1540,1400,2080,1991,2181
