t_rel,phase,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,deg_0,deg_1,deg_2,deg_3,deg_4,deg_5,deg_6,cmd_0,cmd_1,cmd_2,cmd_3,cmd_4,cmd_5,cmd_6,cmd_7,cmd_8,cmd_9,cmd_10,cmd_11,cmd_12,cmd_13,cmd_14,cmd_15,act_0,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,act_9,act_10,act_11,act_12,act_13,act_14,act_15,expected_ang_cmd_0,expected_ang_cmd_1,expected_ang_cmd_2,expected_ang_cmd_3,expected_ang_cmd_4,expected_ang_cmd_5,expected_ang_cmd_6,expected_ang_cmd_7,expected_ang_cmd_8,expected_ang_cmd_9,expected_ang_cmd_10,expected_ang_cmd_11,expected_ang_cmd_12,expected_ang_cmd_13,expected_ang_cmd_14,expected_ang_cmd_15,expected_ang_act_0,expected_ang_act_1,expected_ang_act_2,expected_ang_act_3,expected_ang_act_4,expected_ang_act_5,expected_ang_act_6,expected_ang_act_7,expected_ang_act_8,expected_ang_act_9,expected_ang_act_10,expected_ang_act_11,expected_ang_act_12,expected_ang_act_13,expected_ang_act_14,expected_ang_act_15
94.15375638008118,random_9_S6,-1,-1,-1,-1,-1,-1,-1,89.65,184.04,115.93,287.93,139.31,158.73,33.49,3559,2864,2247,1891,3407,849,2627,1641,839,853,230,761,2686,1995,2000,1850,3560,2865,2247,1891,3407,850,1897,1642,930,854,230,760,2686,1996,2000,1850,nan,nan,nan,nan,nan,nan,189.41,100.90,175.19,nan,nan,58.94,174.13,148.76,nan,nan,nan,nan,nan,nan,nan,nan,93.87,100.94,202.89,nan,nan,58.87,174.13,148.83,nan,nan
94.28910946846008,random_9_S6,-1,-1,-1,-1,-1,-1,-1,89.74,184.04,115.93,287.93,139.31,158.82,33.40,3559,2864,2247,1891,3407,849,2627,1641,839,853,230,761,2686,1995,2000,1850,3560,2865,2247,1891,3407,850,1897,1642,930,854,230,760,2686,1995,2000,1850,nan,nan,nan,nan,nan,nan,189.41,100.90,175.19,nan,nan,58.94,174.13,148.76,nan,nan,nan,nan,nan,nan,nan,nan,93.87,100.94,202.89,nan,nan,58.87,174.13,148.76,nan,nan
94.42410659790039,random_9_S6,-1,-1,-1,-1,-1,-1,-1,89.65,184.04,116.02,287.93,139.31,158.82,33.40,3559,2864,2247,1891,3407,849,2627,1641,839,853,230,761,2686,1995,2000,1850,3560,2865,2247,1891,3407,850,1897,1642,930,854,230,760,2686,1996,2000,1850,nan,nan,nan,nan,nan,nan,189.41,100.90,175.19,nan,nan,58.94,174.13,148.76,nan,nan,nan,nan,nan,nan,nan,nan,93.87,100.94,202.89,nan,nan,58.87,174.13,148.83,nan,nan
94.55911779403687,random_9_S6,-1,-1,-1,-1,-1,-1,-1,89.65,183.96,115.93,287.93,139.31,158.73,33.40,3559,2864,2247,1891,3407,849,2627,1641,839,853,230,761,2686,1995,2000,1850,3560,2865,2247,1891,3407,850,1897,1642,930,854,230,760,2686,1996,2000,1850,nan,nan,nan,nan,nan,nan,189.41,100.90,175.19,nan,nan,58.94,174.13,148.76,nan,nan,nan,nan,nan,nan,nan,nan,93.87,100.94,202.89,nan,nan,58.87,174.13,148.83,nan,nan
94.69399833679199,random_9_S6,-1,-1,-1,-1,-1,-1,-1,89.56,184.04,115.93,287.84,139.31,158.73,33.40,3559,2864,2247,1891,3407,849,2627,1641,839,853,230,761,2686,1995,2000,1850,3560,2865,2247,1891,3407,850,1897,1642,930,854,230,760,2686,1996,2000,1850,nan,nan,nan,nan,nan,nan,189.41,100.90,175.19,nan,nan,58.94,174.13,148.76,nan,nan,nan,nan,nan,nan,nan,nan,93.87,100.94,202.89,nan,nan,58.87,174.13,148.83,nan,nan
94.82874035835266,random_9_S6,-1,-1,-1,-1,-1,-1,-1,89.65,184.04,116.02,287.84,139.39,158.73,33.49,3559,2864,2247,1891,3407,849,2627,1641,839,853,230,761,2686,1995,2000,1850,3560,2865,2247,1891,3407,850,1897,1642,930,854,230,760,2686,1996,2000,1850,nan,nan,nan,nan,nan,nan,189.41,100.90,175.19,nan,nan,58.94,174.13,148.76,nan,nan,nan,nan,nan,nan,nan,nan,93.87,100.94,202.89,nan,nan,58.87,174.13,148.83,nan,nan
94.96377110481262,random_9_S6,-1,-1,-1,-1,-1,-1,-1,89.65,184.04,116.02,287.93,139.31,158.82,33.49,3559,2864,2247,1891,3407,849,2627,1641,839,853,230,761,2686,1995,2000,1850,3560,2865,2247,1891,3407,850,1897,1642,930,854,230,760,2686,1996,2000,1850,nan,nan,nan,nan,nan,nan,189.41,100.90,175.19,nan,nan,58.94,174.13,148.76,nan,nan,nan,nan,nan,nan,nan,nan,93.87,100.94,202.89,nan,nan,58.87,174.13,148.83,nan,nan
95.09874248504639,random_9_S6,-1,-1,-1,-1,-1,-1,-1,89.65,184.04,115.93,287.93,139.39,158.73,33.40,3559,2864,2247,1891,3407,849,2627,1641,839,853,230,761,2686,1995,2000,1850,3560,2865,2247,1891,3407,850,1897,1642,930,854,230,760,2686,1995,2000,1850,nan,nan,nan,nan,nan,nan,189.41,100.90,175.19,nan,nan,58.94,174.13,148.76,nan,nan,nan,nan,nan,nan,nan,nan,93.87,100.94,202.89,nan,nan,58.87,174.13,148.76,nan,nan
95.23366737365723,random_9_S6,-1,-1,-1,-1,-1,-1,-1,89.65,184.04,116.02,287.93,139.39,158.82,33.49,3559,2864,2247,1891,3407,849,2627,1641,839,853,230,761,2686,1995,2000,1850,3560,2865,2247,1891,3407,851,1897,1642,930,854,230,760,2686,1995,2000,1850,nan,nan,nan,nan,nan,nan,189.41,100.90,175.19,nan,nan,58.94,174.13,148.76,nan,nan,nan,nan,nan,nan,nan,nan,93.87,100.94,202.89,nan,nan,58.87,174.13,148.76,nan,nan
95.36865758895874,random_9_S6,-1,-1,-1,-1,-1,-1,-1,89.65,183.96,115.93,287.93,139.39,158.82,33.49,3559,2864,2247,1891,3407,849,2627,1641,839,853,230,761,2686,1995,2000,1850,3560,2865,2247,1891,3407,851,1897,1642,930,854,230,760,2686,1996,2000,1850,nan,nan,nan,nan,nan,nan,189.41,100.90,175.19,nan,nan,58.94,174.13,148.76,nan,nan,nan,nan,nan,nan,nan,nan,93.87,100.94,202.89,nan,nan,58.87,174.13,148.83,nan,nan
95.50399470329285,random_9_S6,-1,-1,-1,-1,-1,-1,-1,89.65,184.04,115.93,287.93,139.39,158.82,33.40,3559,2864,2247,1891,3407,849,2627,1641,839,853,230,761,2686,1995,2000,1850,3560,2865,2247,1891,3407,851,1897,1642,930,854,230,760,2686,1996,2000,1850,nan,nan,nan,nan,nan,nan,189.41,100.90,175.19,nan,nan,58.94,174.13,148.76,nan,nan,nan,nan,nan,nan,nan,nan,93.87,100.94,202.89,nan,nan,58.87,174.13,148.83,nan,nan
95.63867735862732,random_9_S6,-1,-1,-1,-1,-1,-1,-1,89.65,184.04,116.02,287.93,139.39,158.73,33.49,3559,2864,2247,1891,3407,849,2627,1641,839,853,230,761,2686,1995,2000,1850,3560,2865,2247,1891,3407,851,1897,1642,930,854,230,760,2686,1995,2000,1850,nan,nan,nan,nan,nan,nan,189.41,100.90,175.19,nan,nan,58.94,174.13,148.76,nan,nan,nan,nan,nan,nan,nan,nan,93.87,100.94,202.89,nan,nan,58.87,174.13,148.76,nan,nan
95.7740843296051,random_9_S6,-1,-1,-1,-1,-1,-1,-1,89.65,184.04,115.93,287.93,139.39,158.82,33.40,3559,2864,2247,1891,3407,849,2627,1641,839,853,230,761,2686,1995,2000,1850,3560,2865,2247,1891,3407,851,1897,1642,930,854,230,760,2686,1996,2000,1850,nan,nan,nan,nan,nan,nan,189.41,100.90,175.19,nan,nan,58.94,174.13,148.76,nan,nan,nan,nan,nan,nan,nan,nan,93.87,100.94,202.89,nan,nan,58.87,174.13,148.83,nan,nan
95.90903639793396,random_9_S6,-1,-1,-1,-1,-1,-1,-1,89.65,184.04,115.93,287.93,139.39,158.82,33.49,3559,2864,2247,1891,3407,849,2627,1641,839,853,230,761,2686,1995,2000,1850,3560,2865,2247,1891,3407,851,1897,1642,930,854,230,760,2686,1996,2000,1850,nan,nan,nan,nan,nan,nan,189.41,100.90,175.19,nan,nan,58.94,174.13,148.76,nan,nan,nan,nan,nan,nan,nan,nan,93.87,100.94,202.89,nan,nan,58.87,174.13,148.83,nan,nan
96.04391360282898,random_9_S6,-1,-1,-1,-1,-1,-1,-1,89.65,184.04,115.93,287.93,139.39,158.82,33.40,3559,2864,2247,1891,3407,849,2627,1641,839,853,230,761,2686,1995,2000,1850,3560,2865,2247,1891,3407,851,1897,1642,930,854,230,760,2686,1996,2000,1850,nan,nan,nan,nan,nan,nan,189.41,100.90,175.19,nan,nan,58.94,174.13,148.76,nan,nan,nan,nan,nan,nan,nan,nan,93.87,100.94,202.89,nan,nan,58.87,174.13,148.83,nan,nan
96.17871594429016,random_9_S6,-1,-1,-1,-1,-1,-1,-1,89.65,184.04,116.02,287.93,139.39,158.73,33.40,3559,2864,2247,1891,3407,849,2627,1641,839,853,230,761,2686,1995,2000,1850,3560,2865,2247,1891,3407,851,1897,1642,930,854,230,760,2686,1995,2000,1850,nan,nan,nan,nan,nan,nan,189.41,100.90,175.19,nan,nan,58.94,174.13,148.76,nan,nan,nan,nan,nan,nan,nan,nan,93.87,100.94,202.89,nan,nan,58.87,174.13,148.76,nan,nan
96.31378388404846,random_9_S6,-1,-1,-1,-1,-1,-1,-1,89.74,184.04,116.02,287.93,139.31,158.73,33.49,3559,2864,2247,1891,3407,849,2627,1641,839,853,230,761,2686,1995,2000,1850,3560,2865,2247,1891,3407,851,1897,1642,930,854,230,760,2686,1995,2000,1850,nan,nan,nan,nan,nan,nan,189.41,100.90,175.19,nan,nan,58.94,174.13,148.76,nan,nan,nan,nan,nan,nan,nan,nan,93.87,100.94,202.89,nan,nan,58.87,174.13,148.76,nan,nan
96.4488537311554,random_9_S6,-1,-1,-1,-1,-1,-1,-1,89.65,184.04,115.93,287.93,139.39,158.73,33.40,3559,2864,2247,1891,3407,849,2627,1641,839,853,230,761,2686,1995,2000,1850,3560,2865,2247,1891,3407,851,1897,1642,930,854,230,760,2686,1995,2000,1850,nan,nan,nan,nan,nan,nan,189.41,100.90,175.19,nan,nan,58.94,174.13,148.76,nan,nan,nan,nan,nan,nan,nan,nan,93.87,100.94,202.89,nan,nan,58.87,174.13,148.76,nan,nan
96.58366298675537,random_9_S6,-1,-1,-1,-1,-1,-1,-1,89.65,184.13,116.02,287.93,139.39,158.82,33.40,3559,2864,2247,1891,3407,849,2627,1641,839,853,230,761,2686,1995,2000,1850,3560,2865,2247,1891,3407,851,1897,1642,930,854,230,760,2686,1996,2000,1850,nan,nan,nan,nan,nan,nan,189.41,100.90,175.19,nan,nan,58.94,174.13,148.76,nan,nan,nan,nan,nan,nan,nan,nan,93.87,100.94,202.89,nan,nan,58.87,174.13,148.83,nan,nan
96.71873188018799,random_9_S6,-1,-1,-1,-1,-1,-1,-1,89.65,184.13,116.02,287.84,139.39,158.73,33.40,3559,2864,2247,1891,3407,849,2627,1641,839,853,230,761,2686,1995,2000,1850,3560,2865,2247,1891,3407,851,1897,1642,930,854,230,760,2686,1996,2000,1850,nan,nan,nan,nan,nan,nan,189.41,100.90,175.19,nan,nan,58.94,174.13,148.76,nan,nan,nan,nan,nan,nan,nan,nan,93.87,100.94,202.89,nan,nan,58.87,174.13,148.83,nan,nan
96.85371947288513,random_9_S6,-1,-1,-1,-1,-1,-1,-1,89.74,184.04,116.02,288.02,139.39,158.82,33.40,3559,2864,2247,1891,3407,849,2627,1641,839,853,230,761,2686,1995,2000,1850,3560,2864,2247,1891,3407,851,1897,1642,930,854,230,759,2686,1996,2000,1850,nan,nan,nan,nan,nan,nan,189.41,100.90,175.19,nan,nan,58.94,174.13,148.76,nan,nan,nan,nan,nan,nan,nan,nan,93.87,100.94,202.89,nan,nan,58.80,174.13,148.83,nan,nan
96.98867416381836,random_9_S6,-1,-1,-1,-1,-1,-1,-1,89.65,184.13,116.02,287.93,139.39,158.73,33.40,3559,2864,2247,1891,3407,849,2627,1641,839,853,230,761,2686,1995,2000,1850,3560,2863,2247,1891,3407,851,1897,1642,930,854,230,760,2686,1996,2000,1850,nan,nan,nan,nan,nan,nan,189.41,100.90,175.19,nan,nan,58.94,174.13,148.76,nan,nan,nan,nan,nan,nan,nan,nan,93.87,100.94,202.89,nan,nan,58.87,174.13,148.83,nan,nan
97.1236138343811,random_9_S6,-1,-1,-1,-1,-1,-1,-1,89.74,184.13,116.02,287.93,139.39,158.82,33.40,3559,2864,2247,1891,3407,849,2627,1641,839,853,230,761,2686,1995,2000,1850,3560,2863,2247,1891,3407,851,1897,1642,930,854,230,760,2686,1995,2000,1850,nan,nan,nan,nan,nan,nan,189.41,100.90,175.19,nan,nan,58.94,174.13,148.76,nan,nan,nan,nan,nan,nan,nan,nan,93.87,100.94,202.89,nan,nan,58.87,174.13,148.76,nan,nan
97.25859594345093,random_9_S6,-1,-1,-1,-1,-1,-1,-1,89.74,184.04,115.93,287.84,139.39,158.73,33.40,3559,2864,2247,1891,3407,849,2627,1641,839,853,230,761,2686,1995,2000,1850,3560,2863,2247,1891,3407,851,1897,1642,930,854,230,760,2686,1996,2000,1850,nan,nan,nan,nan,nan,nan,189.41,100.90,175.19,nan,nan,58.94,174.13,148.76,nan,nan,nan,nan,nan,nan,nan,nan,93.87,100.94,202.89,nan,nan,58.87,174.13,148.83,nan,nan
97.39370036125183,random_9_S6,-1,-1,-1,-1,-1,-1,-1,89.65,184.04,116.02,287.93,139.39,158.73,33.40,3559,2864,2247,1891,3407,849,2627,1641,839,853,230,761,2686,1995,2000,1850,3560,2863,2247,1891,3407,851,1897,1642,930,854,230,760,2686,1996,2000,1850,nan,nan,nan,nan,nan,nan,189.41,100.90,175.19,nan,nan,58.94,174.13,148.76,nan,nan,nan,nan,nan,nan,nan,nan,93.87,100.94,202.89,nan,nan,58.87,174.13,148.83,nan,nan
97.52898406982422,random_9_S6,-1,-1,-1,-1,-1,-1,-1,89.74,184.04,115.93,287.93,139.31,158.82,33.49,3559,2864,2247,1891,3407,849,2627,1641,839,853,230,761,2686,1995,2000,1850,3560,2863,2247,1891,3407,851,1897,1642,930,854,230,760,2686,1995,2000,1850,nan,nan,nan,nan,nan,nan,189.41,100.90,175.19,nan,nan,58.94,174.13,148.76,nan,nan,nan,nan,nan,nan,nan,nan,93.87,100.94,202.89,nan,nan,58.87,174.13,148.76,nan,nan
97.6636610031128,random_9_S6,-1,-1,-1,-1,-1,-1,-1,89.65,184.04,116.02,287.93,139.31,158.82,33.40,3559,2864,2247,1891,3407,849,2627,1641,839,853,230,761,2686,1995,2000,1850,3560,2863,2247,1891,3407,851,1897,1642,930,854,230,760,2686,1996,2000,1850,nan,nan,nan,nan,nan,nan,189.41,100.90,175.19,nan,nan,58.94,174.13,148.76,nan,nan,nan,nan,nan,nan,nan,nan,93.87,100.94,202.89,nan,nan,58.87,174.13,148.83,nan,nan
97.79869437217712,random_9_S6,-1,-1,-1,-1,-1,-1,-1,89.74,184.13,115.93,287.93,139.39,158.82,33.40,3559,2864,2247,1891,3407,849,2627,1641,839,853,230,761,2686,1995,2000,1850,3560,2863,2247,1891,3407,851,1897,1642,930,854,230,759,2686,1995,2000,1850,nan,nan,nan,nan,nan,nan,189.41,100.90,175.19,nan,nan,58.94,174.13,148.76,nan,nan,nan,nan,nan,nan,nan,nan,93.87,100.94,202.89,nan,nan,58.80,174.13,148.76,nan,nan
97.93361449241638,random_9_S6,-1,-1,-1,-1,-1,-1,-1,89.65,184.13,115.93,287.93,139.39,158.73,33.40,3559,2864,2247,1891,3407,849,2627,1641,839,853,230,761,2686,1995,2000,1850,3560,2863,2247,1891,3407,851,1897,1642,930,854,230,760,2686,1995,2000,1850,nan,nan,nan,nan,nan,nan,189.41,100.90,175.19,nan,nan,58.94,174.13,148.76,nan,nan,nan,nan,nan,nan,nan,nan,93.87,100.94,202.89,nan,nan,58.87,174.13,148.76,nan,nan
98.06861209869385,random_9_S6,-1,-1,-1,-1,-1,-1,-1,89.74,184.04,115.93,287.93,139.39,158.82,33.40,3559,2864,2247,1891,3407,849,2627,1641,839,853,230,761,2686,1995,2000,1850,3560,2863,2247,1891,3407,851,1897,1642,930,854,230,760,2686,1996,2000,1850,nan,nan,nan,nan,nan,nan,189.41,100.90,175.19,nan,nan,58.94,174.13,148.76,nan,nan,nan,nan,nan,nan,nan,nan,93.87,100.94,202.89,nan,nan,58.87,174.13,148.83,nan,nan
98.20394229888916,random_9_S6,-1,-1,-1,-1,-1,-1,-1,89.65,184.04,115.93,287.93,139.39,158.73,33.40,3559,2864,2247,1891,3407,849,2627,1641,839,853,230,761,2686,1995,2000,1850,3560,2863,2247,1891,3407,850,1897,1642,930,854,230,760,2686,1996,2000,1850,nan,nan,nan,nan,nan,nan,189.41,100.90,175.19,nan,nan,58.94,174.13,148.76,nan,nan,nan,nan,nan,nan,nan,nan,93.87,100.94,202.89,nan,nan,58.87,174.13,148.83,nan,nan
98.33866906166077,random_9_S6,-1,-1,-1,-1,-1,-1,-1,89.74,184.04,115.93,287.84,139.39,158.82,33.40,3559,2864,2247,1891,3407,849,2627,1641,839,853,230,761,2686,1995,2000,1850,3560,2863,2247,1891,3407,850,1897,1642,930,854,230,760,2686,1996,2000,1850,nan,nan,nan,nan,nan,nan,189.41,100.90,175.19,nan,nan,58.94,174.13,148.76,nan,nan,nan,nan,nan,nan,nan,nan,93.87,100.94,202.89,nan,nan,58.87,174.13,148.83,nan,nan
98.47398614883423,random_9_S6,-1,-1,-1,-1,-1,-1,-1,89.65,184.04,115.93,287.93,139.39,158.82,33.40,3559,2864,2247,1891,3407,849,2627,1641,839,853,230,761,2686,1995,2000,1850,3560,2863,2247,1891,3407,850,1897,1642,930,854,230,759,2686,1996,2000,1850,nan,nan,nan,nan,nan,nan,189.41,100.90,175.19,nan,nan,58.94,174.13,148.76,nan,nan,nan,nan,nan,nan,nan,nan,93.87,100.94,202.89,nan,nan,58.80,174.13,148.83,nan,nan
98.60881447792053,random_9_S6,-1,-1,-1,-1,-1,-1,-1,89.74,184.13,115.93,287.93,139.39,158.82,33.40,3559,2864,2247,1891,3407,849,2627,1641,839,853,230,761,2686,1995,2000,1850,3560,2863,2247,1891,3407,850,1897,1642,930,854,230,759,2686,1995,2000,1850,nan,nan,nan,nan,nan,nan,189.41,100.90,175.19,nan,nan,58.94,174.13,148.76,nan,nan,nan,nan,nan,nan,nan,nan,93.87,100.94,202.89,nan,nan,58.80,174.13,148.76,nan,nan
98.743643283844,random_9_S6,-1,-1,-1,-1,-1,-1,-1,89.65,184.13,116.02,287.93,139.39,158.82,33.40,3559,2864,2247,1891,3407,849,2627,1641,839,853,230,761,2686,1995,2000,1850,3560,2863,2247,1891,3407,850,1897,1642,930,854,230,760,2686,1995,2000,1850,nan,nan,nan,nan,nan,nan,189.41,100.90,175.19,nan,nan,58.94,174.13,148.76,nan,nan,nan,nan,nan,nan,nan,nan,93.87,100.94,202.89,nan,nan,58.87,174.13,148.76,nan,nan
98.87873363494873,random_9_S6,-1,-1,-1,-1,-1,-1,-1,89.74,184.04,115.93,287.93,139.31,158.73,33.40,3559,2864,2247,1891,3407,849,2627,1641,839,853,230,761,2686,1995,2000,1850,3560,2863,2247,1891,3407,850,1897,1642,930,854,230,760,2686,1995,2000,1850,nan,nan,nan,nan,nan,nan,189.41,100.90,175.19,nan,nan,58.94,174.13,148.76,nan,nan,nan,nan,nan,nan,nan,nan,93.87,100.94,202.89,nan,nan,58.87,174.13,148.76,nan,nan
99.01366877555847,random_9_S6,-1,-1,-1,-1,-1,-1,-1,89.74,184.13,116.02,287.84,139.39,158.82,33.49,3559,2864,2247,1891,3407,849,2627,1641,839,853,230,761,2686,1995,2000,1850,3560,2863,2247,1891,3407,850,1897,1642,930,854,230,759,2686,1996,2000,1850,nan,nan,nan,nan,nan,nan,189.41,100.90,175.19,nan,nan,58.94,174.13,148.76,nan,nan,nan,nan,nan,nan,nan,nan,93.87,100.94,202.89,nan,nan,58.80,174.13,148.83,nan,nan
99.14860415458679,random_9_S6,-1,-1,-1,-1,-1,-1,-1,89.56,184.13,115.93,287.84,139.39,158.73,33.40,3559,2864,2247,1891,3407,849,2627,1641,839,853,230,761,2686,1995,2000,1850,3560,2863,2247,1891,3407,850,1897,1642,930,854,230,759,2686,1995,2000,1850,nan,nan,nan,nan,nan,nan,189.41,100.90,175.19,nan,nan,58.94,174.13,148.76,nan,nan,nan,nan,nan,nan,nan,nan,93.87,100.94,202.89,nan,nan,58.80,174.13,148.76,nan,nan
99.28358626365662,random_9_S6,-1,-1,-1,-1,-1,-1,-1,89.65,184.13,116.02,287.84,139.39,158.73,33.40,3559,2864,2247,1891,3407,849,2627,1641,839,853,230,761,2686,1995,2000,1850,3560,2863,2247,1891,3407,850,1897,1642,930,854,230,759,2686,1996,2000,1850,nan,nan,nan,nan,nan,nan,189.41,100.90,175.19,nan,nan,58.94,174.13,148.76,nan,nan,nan,nan,nan,nan,nan,nan,93.87,100.94,202.89,nan,nan,58.80,174.13,148.83,nan,nan
